pmid,cancer_type
16728934,Lymphoma
16728939,Cervical Cancer
16729911,Kidney Cancer
16729916,Prostate Cancer
16730060,Leukemia
16730060,Acute Myeloid Leukemia (AML)
16730134,Lung Cancer
16730137,Breast Cancer
16730137,Cardiac Tumors
16730137,Lung Cancer
16730237,Lung Cancer
16730263,Leukemia
16730265,Melanoma
16730265,Skin Cancer
16730266,Melanoma
16730271,Breast Cancer
16730271,Bone Cancer
16730272,Bone Cancer
16730272,Breast Cancer
16730300,Sarcoma
16730300,Skin Cancer
16730530,Head and Neck Cancer
16730784,Cervical Cancer
16730854,Lung Cancer
16730884,Sarcoma
16731125,Lung Cancer
16731745,Melanoma
16732964,Leukemia
16733646,Ovarian Cancer
16733646,Adrenocortical Cancer
16735703,Breast Cancer
16735788,Breast Cancer
16736511,Prostate Cancer
16736568,Breast Cancer
16736978,Kidney Cancer
16736978,Lung Cancer
16736979,Colorectal Cancer
16736979,Head and Neck Cancer
16736979,Lung Cancer
16737674,Ovarian Cancer
16737674,Prostate Cancer
16737674,Bone Cancer
16737921,Leukemia
16737921,Chronic Lymphocytic Leukemia (CLL)
16737932,Lymphoma
16737937,Lymphoma
16737940,Skin Cancer
16737940,Liver Cancer
16739349,Prostate Cancer
16740153,Prostate Cancer
16740153,Colorectal Cancer
16740298,Endometrial Cancer
16740298,Kidney Cancer
16740703,Colorectal Cancer
16740715,Melanoma
16740725,Gastrointestinal Tumor
16740760,Bladder Cancer
16740760,Kidney Cancer
16740760,Testicular Cancer
16740761,Skin Cancer
16740761,Lung Cancer
16740767,Thyroid Cancer
16740785,Leukemia
16740787,Leukemia
16740787,Lymphoma
16740788,Breast Cancer
16740788,Leukemia
16740789,Mesothelioma
16740789,Leukemia
16740789,Lung Cancer
16740792,Leukemia
16740794,Sarcoma
16740794,Leukemia
16740794,Testicular Cancer
16741249,Bone Cancer
16741304,Breast Cancer
16741304,Bone Cancer
16741304,Brain Tumor
16741304,Liver Cancer
16741726,Melanoma
16750016,Gastric Cancer
16750315,Breast Cancer
16750315,Bone Cancer
16750316,Breast Cancer
16750325,Breast Cancer
16750326,Prostate Cancer
16750332,Rectal Cancer
16750497,Prostate Cancer
16750621,Multiple Myeloma
16751058,Mesothelioma
16751058,Lung Cancer
16752073,Breast Cancer
16752375,Prostate Cancer
16752375,Cardiac Tumors
16753202,Vaginal Cancer
16753202,Cervical Cancer
16753366,Bladder Cancer
16753380,Testicular Cancer
16753866,Bone Cancer
16753866,Leukemia
16753866,Chronic Lymphocytic Leukemia (CLL)
16753866,Lymphoma
16754633,Leukemia
16754936,Multiple Myeloma
16755173,Rectal Cancer
16755173,Anal Cancer
16755175,Colorectal Cancer
16755224,Leukemia
16755224,Chronic Lymphocytic Leukemia (CLL)
16755266,Skin Cancer
16755540,Brain Tumor
16756722,Brain Tumor
16756722,Colorectal Cancer
16756948,Sarcoma
16757127,Cervical Cancer
16757127,Bone Cancer
16757345,Ovarian Cancer
16757345,Breast Cancer
16757360,Ovarian Cancer
16757375,Breast Cancer
16757426,Leukemia
16757703,Prostate Cancer
16757703,Bone Cancer
16757724,Kidney Cancer
16758173,Sarcoma
16758413,Leukemia
16758413,Chronic Lymphocytic Leukemia (CLL)
16759149,Ovarian Cancer
16759161,Head and Neck Cancer
16759221,Lymphoma
16760223,Leukemia
16760223,Acute Lymphoblastic Leukemia (ALL)
16760223,Acute Myeloid Leukemia (AML)
16760642,Head and Neck Cancer
16762618,Colorectal Cancer
16762634,Liver Cancer
16762733,Melanoma
16762916,Leukemia
16762916,Chronic Myelogenous Leukemia (CML)
16763210,Leukemia
16763212,Leukemia
16763212,Acute Myeloid Leukemia (AML)
16763212,Myeloproliferative Neoplasms
16763279,Head and Neck Cancer
16764755,Lung Cancer
16765041,Bone Cancer
16765041,Gastrointestinal Tumor
16765041,Multiple Myeloma
16765185,Prostate Cancer
16765528,Lung Cancer
16765534,Breast Cancer
16765534,Cardiac Tumors
16765534,Lung Cancer
16767371,Gastric Cancer
16767725,Lung Cancer
16769104,Ovarian Cancer
16769276,Breast Cancer
16769985,Breast Cancer
16769986,Lung Cancer
16770537,Melanoma
16770783,Prostate Cancer
16770786,Lymphoma
16770788,Prostate Cancer
16772123,Bone Cancer
16772123,Leukemia
16772123,Lymphoma
16772123,Burkitt Lymphoma
16772786,Breast Cancer
16773437,Breast Cancer
16773844,Colorectal Cancer
16774493,Colorectal Cancer
16774938,Colorectal Cancer
16775044,Brain Tumor
16775234,Leukemia
16775234,Acute Lymphoblastic Leukemia (ALL)
16775234,Chronic Myelogenous Leukemia (CML)
16775235,Leukemia
16775235,Acute Lymphoblastic Leukemia (ALL)
16775235,Chronic Myelogenous Leukemia (CML)
16776787,Breast Cancer
16776978,Lymphoma
16777480,Gastric Cancer
16777685,Breast Cancer
16777685,Esophageal Cancer
16777685,Lung Cancer
16778114,Melanoma
16778146,Leukemia
16778146,Chronic Lymphocytic Leukemia (CLL)
16778177,Neuroblastoma
16778214,Leukemia
16778214,Acute Myeloid Leukemia (AML)
16778214,Myeloproliferative Neoplasms
16778241,Kidney Cancer
16778987,Melanoma
16779712,Rectal Cancer
16779712,Bone Cancer
16779712,Colorectal Cancer
16779793,Neuroblastoma
16779795,Prostate Cancer
16779800,Prostate Cancer
16780552,Liver Cancer
16781489,Leukemia
16781489,Acute Myeloid Leukemia (AML)
16781489,Myeloproliferative Neoplasms
16782176,Ovarian Cancer
16782176,Lung Cancer
16782912,Prostate Cancer
16782913,Bladder Cancer
16782915,Breast Cancer
16782916,Breast Cancer
16782922,Breast Cancer
16782925,Melanoma
16782928,Neuroblastoma
16782928,Sarcoma
16782928,Leukemia
16782931,Breast Cancer
16783836,Leukemia
16783836,Multiple Myeloma
16783836,Myeloproliferative Neoplasms
16785067,Kidney Cancer
16785067,Liver Cancer
16785352,Colorectal Cancer
16785353,Sarcoma
16785353,Endometrial Cancer
16785353,Gastric Cancer
16785353,Gastrointestinal Tumor
16785353,Liver Cancer
16785357,Breast Cancer
16785472,Esophageal Cancer
16785802,Breast Cancer
16785802,Liver Cancer
16786333,Skin Cancer
16786333,Gallbladder Cancer
16786333,Gastric Cancer
16786333,Pancreatic Cancer
16788159,Liver Cancer
16788159,Pancreatic Cancer
16788380,Colorectal Cancer
16788750,Skin Cancer
16788754,Pancreatic Cancer
16789792,Pancreatic Cancer
16790091,Brain Tumor
16790264,Ovarian Cancer
16791450,Pancreatic Cancer
16791479,Breast Cancer
16793500,Brain Tumor
16793542,Breast Cancer
16793542,Ovarian Cancer
16794235,Breast Cancer
16794242,Bladder Cancer
16794421,Ovarian Cancer
16795066,Brain Tumor
16795066,Colorectal Cancer
16795066,Gastric Cancer
16795067,Bone Cancer
16795067,Kidney Cancer
16795067,Liver Cancer
16795067,Lung Cancer
16795067,Pancreatic Cancer
16796694,Prostate Cancer
16796779,Bone Cancer
16796789,Colorectal Cancer
16796789,Liver Cancer
16796789,Lung Cancer
16796793,Colorectal Cancer
16797250,Rectal Cancer
16797250,Colorectal Cancer
16797375,Breast Cancer
16797375,Colorectal Cancer
16797375,Lung Cancer
16797679,Endometrial Cancer
16797683,Sarcoma
16797683,Endometrial Cancer
16797704,Bone Cancer
16797779,Lung Cancer
16798175,Lung Cancer
16798488,Breast Cancer
16799332,Lung Cancer
16799335,Melanoma
16799355,Breast Cancer
16799556,Gastrointestinal Tumor
16800971,Breast Cancer
16800971,Bone Cancer
16800973,Breast Cancer
16800976,Breast Cancer
16800976,Ovarian Cancer
16801993,Prostate Cancer
16802288,Prostate Cancer
16803675,Head and Neck Cancer
16803680,Breast Cancer
16804116,Bone Cancer
16804116,Leukemia
16804116,Chronic Lymphocytic Leukemia (CLL)
16804116,Multiple Myeloma
16804926,Prostate Cancer
16804927,Prostate Cancer
16804927,Bone Cancer
16805714,Colorectal Cancer
16806436,Ovarian Cancer
16806436,Appendix Cancer
16806436,Fallopian Tube Cancer
16807678,Breast Cancer
16807780,Brain Tumor
16808432,Cervical Cancer
16808592,Prostate Cancer
16808964,Prostate Cancer
16808964,Bone Cancer
16809148,Esophageal Cancer
16809148,Gastric Cancer
16809160,Neuroblastoma
16809160,Wilms Tumor
16809160,Osteosarcoma
16809610,Multiple Myeloma
16809614,Leukemia
16809614,Acute Myeloid Leukemia (AML)
16809614,Chronic Myelogenous Leukemia (CML)
16809614,Myeloproliferative Neoplasms
16809727,Breast Cancer
16809731,Skin Cancer
16809736,Kidney Cancer
16809738,Melanoma
16810616,Kidney Cancer
16810616,Leukemia
16810616,Chronic Myelogenous Leukemia (CML)
16813727,Lung Cancer
16813730,Lung Cancer
16813731,Breast Cancer
16813873,Bladder Cancer
16813873,Leukemia
16813873,Chronic Lymphocytic Leukemia (CLL)
16813873,Lymphoma
16813878,Bladder Cancer
16813890,Prostate Cancer
16813948,Bladder Cancer
16814159,Cervical Cancer
16814423,Lung Cancer
16814952,Lung Cancer
16814955,Breast Cancer
16815318,Breast Cancer
16815535,Cervical Cancer
16815536,Ovarian Cancer
16815536,Fallopian Tube Cancer
16815651,Breast Cancer
16816134,Retinoblastoma
16816380,Breast Cancer
16818280,Multiple Myeloma
16818519,Breast Cancer
16818618,Lung Cancer
16818620,Colorectal Cancer
16818620,Lung Cancer
16818652,Leukemia
16818652,Acute Myeloid Leukemia (AML)
16818652,Chronic Myelogenous Leukemia (CML)
16818663,Esophageal Cancer
16818686,Lung Cancer
16818707,Prostate Cancer
16818852,Ovarian Cancer
16818852,Lymphoma
16819321,Lymphoma
16819629,Brain Tumor
16820091,Colorectal Cancer
16821795,Prostate Cancer
16821795,Leukemia
16821795,Liver Cancer
16822295,Leukemia
16822295,Acute Myeloid Leukemia (AML)
16822819,Thyroid Cancer
16822843,Colorectal Cancer
16822844,Colorectal Cancer
16822845,Bone Cancer
16823171,Breast Cancer
16824973,Leukemia
16824973,Acute Lymphoblastic Leukemia (ALL)
16826124,Bone Cancer
16826124,Osteosarcoma
16826462,Breast Cancer
16826517,Leukemia
16826517,Acute Lymphoblastic Leukemia (ALL)
16827884,Bone Cancer
16828865,Multiple Myeloma
16829574,Prostate Cancer
16829690,Ovarian Cancer
16830322,Wilms Tumor
16830322,Neuroblastoma
16831071,Lymphoma
16831144,Kidney Cancer
16832122,Head and Neck Cancer
16832602,Gastric Cancer
16832603,Brain Tumor
16832603,Kidney Cancer
16832603,Liver Cancer
16832676,Leukemia
16832815,Bone Cancer
16832815,Leukemia
16832815,Chronic Lymphocytic Leukemia (CLL)
16832816,Leukemia
16832816,Chronic Lymphocytic Leukemia (CLL)
16834459,Bone Cancer
16835228,Lung Cancer
16835340,Rectal Cancer
16835340,Colorectal Cancer
16835424,Ovarian Cancer
16835424,Fallopian Tube Cancer
16835508,Leukemia
16837027,Cervical Cancer
16837027,Vaginal Cancer
16837027,Ovarian Cancer
16837027,Endometrial Cancer
16840193,Lymphoma
16840198,Leukemia
16840542,Breast Cancer
16840542,Colorectal Cancer
16840723,Multiple Myeloma
16841258,Lung Cancer
16841796,Lung Cancer
16841797,Colorectal Cancer
16842157,Breast Cancer
16842157,Multiple Myeloma
16842379,Endometrial Cancer
16842694,Cervical Cancer
16842694,Esophageal Cancer
16842694,Gastric Cancer
16843098,Colorectal Cancer
16843108,Leukemia
16843633,Breast Cancer
16844323,Pancreatic Cancer
16844894,Prostate Cancer
16846475,Lymphoma
16846475,Multiple Myeloma
16847424,Rectal Cancer
16847885,Pancreatic Cancer
16847887,Lung Cancer
16848844,Breast Cancer
16849535,Sarcoma
16849543,Lung Cancer
16849548,Gastrointestinal Tumor
16849548,Pancreatic Cancer
16849748,Colorectal Cancer
16849752,Bone Cancer
16849752,Breast Cancer
16849752,Prostate Cancer
16849752,Lymphoma
16849756,Sarcoma
16849759,Head and Neck Cancer
16849760,Prostate Cancer
16849764,Breast Cancer
16849766,Breast Cancer
16850246,Breast Cancer
16855379,Prostate Cancer
16856154,Rhabdoid Tumor
16857802,Endometrial Cancer
16857803,Esophageal Cancer
16857803,Lung Cancer
16857803,Pancreatic Cancer
16857815,Lung Cancer
16857818,Lung Cancer
16857820,Lung Cancer
16857823,Skin Cancer
16857823,Colorectal Cancer
16857823,Head and Neck Cancer
16857823,Lung Cancer
16857824,Breast Cancer
16857824,Lung Cancer
16857987,Leukemia
16857987,Acute Myeloid Leukemia (AML)
16858161,Prostate Cancer
16858170,Breast Cancer
16858174,Cardiac Tumors
16858174,Leukemia
16858174,Chronic Myelogenous Leukemia (CML)
16858189,Liver Cancer
16858513,Brain Tumor
16858513,Breast Cancer
16858548,Liver Cancer
16859577,Bladder Cancer
16859578,Prostate Cancer
16859579,Kidney Cancer
16859581,Prostate Cancer
16860523,Breast Cancer
16860852,Ovarian Cancer
16861052,Breast Cancer
16861052,Ovarian Cancer
16861052,Melanoma
16861052,Colorectal Cancer
16861052,Pancreatic Cancer
16861127,Prostate Cancer
16861913,Breast Cancer
16862152,Ovarian Cancer
16862536,Leukemia
16862570,Lymphoma
16862570,Burkitt Lymphoma
16862573,Prostate Cancer
16862596,Breast Cancer
16863934,Breast Cancer
16863934,Cardiac Tumors
16863934,Lung Cancer
16864070,Breast Cancer
16864070,Cardiac Tumors
16864070,Lung Cancer
16864758,Breast Cancer
16865563,Lung Cancer
16865595,Rectal Cancer
16865595,Anal Cancer
16865596,Breast Cancer
16865597,Pancreatic Cancer
16865599,Breast Cancer
16866093,Bone Cancer
16866685,Breast Cancer
16867220,Bone Cancer
16867220,Prostate Cancer
16867306,Breast Cancer
16870418,Leukemia
16870548,Leukemia
16870548,Myeloproliferative Neoplasms
16870552,Leukemia
16870552,Acute Lymphoblastic Leukemia (ALL)
16870555,Bone Cancer
16870555,Multiple Myeloma
16872265,Gastric Cancer
16874767,Cardiac Tumors
16874767,Lymphoma
16874816,Breast Cancer
16874819,Esophageal Cancer
16875720,Ovarian Cancer
16875937,Leukemia
16875937,Acute Lymphoblastic Leukemia (ALL)
16877719,Rectal Cancer
16877721,Carcinoid Tumor
16877721,Pancreatic Cancer
16877728,Breast Cancer
16878326,Lung Cancer
16879607,Lymphoma
16879669,Prostate Cancer
16879768,Bone Cancer
16879768,Multiple Myeloma
16879771,Lymphoma
16879775,Bile Duct Cancer
16879775,Liver Cancer
16879775,Lymphoma
16879867,Bone Cancer
16879867,Gastrointestinal Tumor
16879867,Multiple Myeloma
16880231,Breast Cancer
16880231,Bone Cancer
16880238,Bile Duct Cancer
16880238,Kidney Cancer
16880238,Liver Cancer
16880307,Endometrial Cancer
16880307,Fallopian Tube Cancer
16880314,Cervical Cancer
16882502,Cervical Cancer
16882708,Leukemia
16882708,Myeloproliferative Neoplasms
16882711,Leukemia
16882711,Myeloproliferative Neoplasms
16883003,Thyroid Cancer
16883013,Lymphoma
16885366,Pancreatic Cancer
16885368,Retinoblastoma
16885915,Prostate Cancer
16885917,Melanoma
16886662,Prostate Cancer
16886662,Lung Cancer
16886662,Pancreatic Cancer
16886663,Bone Cancer
16886663,Breast Cancer
16886663,Prostate Cancer
16886663,Melanoma
16886663,Colorectal Cancer
16886663,Gastrointestinal Tumor
16886663,Head and Neck Cancer
16886663,Leukemia
16886663,Lung Cancer
16886663,Lymphoma
16886675,Prostate Cancer
16886897,Leukemia
16886897,Acute Myeloid Leukemia (AML)
16887286,Breast Cancer
16887292,Head and Neck Cancer
16888001,Bone Cancer
16888001,Breast Cancer
16888001,Lung Cancer
16888034,Melanoma
16888034,Breast Cancer
16888034,Lung Cancer
16888090,Leukemia
16889618,Lymphoma
16889823,Cervical Cancer
16890277,Ovarian Cancer
16890277,Liver Cancer
16890558,Ovarian Cancer
16890657,Bladder Cancer
16890673,Prostate Cancer
16890673,Bone Cancer
16890673,Head and Neck Cancer
16890677,Prostate Cancer
16890678,Prostate Cancer
16891317,Breast Cancer
16891317,Ovarian Cancer
16891317,Gastrointestinal Tumor
16891464,Multiple Myeloma
16891861,Melanoma
16891868,Prostate Cancer
16891869,Prostate Cancer
16891869,Cardiac Tumors
16892692,Breast Cancer
16892692,Prostate Cancer
16892692,Skin Cancer
16892692,Cardiac Tumors
16894289,Lymphoma
16894292,Lymphoma
16894524,Breast Cancer
16894524,Cardiac Tumors
16894565,Colorectal Cancer
16896000,Lymphoma
16896000,Multiple Myeloma
16896004,Breast Cancer
16896006,Ovarian Cancer
16896009,Breast Cancer
16896009,Ovarian Cancer
16896048,Ovarian Cancer
16896048,Breast Cancer
16896048,Prostate Cancer
16896048,Colorectal Cancer
16896048,Endometrial Cancer
16896048,Gastrointestinal Tumor
16896048,Lung Cancer
16896151,Leukemia
16896151,Acute Lymphoblastic Leukemia (ALL)
16896930,Thyroid Cancer
16896930,Head and Neck Cancer
16896930,Lung Cancer
16896931,Prostate Cancer
16897431,Breast Cancer
16897985,Gastric Cancer
16899598,Brain Tumor
16899606,Esophageal Cancer
16899607,Esophageal Cancer
16899611,Leukemia
16899611,Acute Myeloid Leukemia (AML)
16899611,Myeloproliferative Neoplasms
16899615,Pancreatic Cancer
16899627,Thyroid Cancer
16900483,Neuroblastoma
16900483,Wilms Tumor
16901028,Bone Cancer
16901028,Multiple Myeloma
16902153,Bone Cancer
16902153,Leukemia
16902153,Myeloproliferative Neoplasms
16902984,Leukemia
16902984,Chronic Lymphocytic Leukemia (CLL)
16902984,Lymphoma
16902987,Bone Cancer
16904055,Pancreatic Cancer
16904056,Colorectal Cancer
16904057,Liver Cancer
16904058,Esophageal Cancer
16904847,Brain Tumor
16905030,Colorectal Cancer
16905974,Kidney Cancer
16906227,Lung Cancer
16906325,Gastrointestinal Tumor
16906325,Leukemia
16906452,Breast Cancer
16908054,Cervical Cancer
16908592,Ovarian Cancer
16908594,Leukemia
16908934,Breast Cancer
16908934,Cardiac Tumors
16908937,Skin Cancer
16908937,Liver Cancer
16909414,Brain Tumor
16909414,Breast Cancer
16909423,Colorectal Cancer
16909423,Lung Cancer
16909423,Pancreatic Cancer
16909426,Kidney Cancer
16911489,Neuroblastoma
16912177,Head and Neck Cancer
16912191,Bone Cancer
16912191,Prostate Cancer
16912191,Breast Cancer
16912191,Ovarian Cancer
16912191,Skin Cancer
16912191,Colorectal Cancer
16912208,Breast Cancer
16912212,Breast Cancer
16912212,Ovarian Cancer
16912224,Bone Cancer
16912224,Gastrointestinal Tumor
16912224,Leukemia
16912224,Acute Myeloid Leukemia (AML)
16912263,Breast Cancer
16913316,Gastric Cancer
16913316,Gastrointestinal Tumor
16914563,Breast Cancer
16914578,Gastrointestinal Tumor
16914578,Leukemia
16914578,Chronic Myelogenous Leukemia (CML)
16914580,Ovarian Cancer
16916273,Colorectal Cancer
16916488,Lymphoma
16916489,Leukemia
16916489,Acute Myeloid Leukemia (AML)
16916489,Lymphoma
16916489,Multiple Myeloma
16916490,Lymphoma
16917005,Leukemia
16917005,Acute Lymphoblastic Leukemia (ALL)
16918262,Breast Cancer
16920425,Breast Cancer
16921036,Sarcoma
16921037,Leukemia
16921041,Leukemia
16921041,Acute Myeloid Leukemia (AML)
16921048,Gastric Cancer
16921049,Prostate Cancer
16921051,Prostate Cancer
16921275,Breast Cancer
16922258,Prostate Cancer
16922260,Lung Cancer
16922620,Lymphoma
16923555,Lymphoma
16923559,Lymphoma
16923569,Multiple Myeloma
16923774,Colorectal Cancer
16925483,Multiple Myeloma
16925489,Breast Cancer
16925494,Bladder Cancer
16925494,Head and Neck Cancer
16925505,Lymphoma
16925576,Lymphoma
16925975,Prostate Cancer
16926177,Lung Cancer
16926564,Sarcoma
16926572,Breast Cancer
16928151,Brain Tumor
16928239,Melanoma
16928239,Endometrial Cancer
16928239,Lung Cancer
16928523,Mesothelioma
16929165,Head and Neck Cancer
16929165,Testicular Cancer
16929468,Brain Tumor
16930623,Colorectal Cancer
16930623,Liver Cancer
16930766,Kidney Cancer
16930766,Lung Cancer
16931954,Brain Tumor
16931954,Breast Cancer
16931954,Bone Cancer
16931963,Colorectal Cancer
16932601,Brain Tumor
16933324,Colorectal Cancer
16933325,Osteosarcoma
16933325,Lung Cancer
16934909,Lung Cancer
16935726,Breast Cancer
16936558,Lung Cancer
16937522,Gastric Cancer
16938815,Prostate Cancer
16938815,Bladder Cancer
16938860,Gastrointestinal Tumor
16939386,Liver Cancer
16939496,Bone Cancer
16939496,Lymphoma
16939961,Prostate Cancer
16939961,Leukemia
16939964,Anal Cancer
16940414,Multiple Myeloma
16940965,Prostate Cancer
16941960,Head and Neck Cancer
16942642,Breast Cancer
16942645,Breast Cancer
16942645,Skin Cancer
16943394,Colorectal Cancer
16943394,Cardiac Tumors
16943400,Colorectal Cancer
16943525,Rectal Cancer
16943527,Head and Neck Cancer
16943527,Lung Cancer
16943532,Head and Neck Cancer
16943537,Melanoma
16944535,Ovarian Cancer
16944539,Gastric Cancer
16944656,Head and Neck Cancer
16945172,Colorectal Cancer
16945480,Colorectal Cancer
16945480,Liver Cancer
16945768,Kidney Cancer
16946209,Ovarian Cancer
16946209,Breast Cancer
16946209,Fallopian Tube Cancer
16946302,Bone Cancer
16946302,Leukemia
16946302,Acute Myeloid Leukemia (AML)
16946307,Leukemia
16946307,Acute Myeloid Leukemia (AML)
16946713,Melanoma
16947023,Pancreatic Cancer
16947084,Breast Cancer
16948128,Breast Cancer
16948177,Lymphoma
16948955,Liver Cancer
16949700,Lung Cancer
16949765,Prostate Cancer
16949765,Bone Cancer
16949765,Head and Neck Cancer
16951139,Prostate Cancer
16951165,Breast Cancer
16951177,Ovarian Cancer
16951227,Colorectal Cancer
16951235,Skin Cancer
16951235,Leukemia
16951235,Chronic Lymphocytic Leukemia (CLL)
16951235,Chronic Myelogenous Leukemia (CML)
16951235,Lymphoma
16951235,Myeloproliferative Neoplasms
16951381,Melanoma
16951382,Skin Cancer
16951389,Breast Cancer
16951390,Breast Cancer
16952046,Sarcoma
16952070,Melanoma
16952542,Colorectal Cancer
16952626,Kidney Cancer
16952661,Testicular Cancer
16952707,Bladder Cancer
16954519,Gastrointestinal Tumor
16954546,Thyroid Cancer
16954546,Head and Neck Cancer
16955385,Pancreatic Cancer
16955504,Breast Cancer
16955509,Esophageal Cancer
16955510,Leukemia
16955510,Myeloproliferative Neoplasms
16955712,Brain Tumor
16957420,Prostate Cancer
16957420,Kidney Cancer
16957930,Lung Cancer
16957969,Breast Cancer
16959316,Leukemia
16959316,Acute Myeloid Leukemia (AML)
16959885,Cervical Cancer
16959885,Head and Neck Cancer
16960319,Cervical Cancer
16960319,Breast Cancer
16962247,Breast Cancer
16963111,Endometrial Cancer
16963396,Multiple Myeloma
16963426,Breast Cancer
16963426,Melanoma
16963665,Lung Cancer
16965867,Brain Tumor
16966259,Lymphoma
16966261,Lymphoma
16966261,Burkitt Lymphoma
16966270,Bone Cancer
16966270,Leukemia
16966270,Acute Myeloid Leukemia (AML)
16966686,Lung Cancer
16966688,Melanoma
16966688,Liver Cancer
16969707,Breast Cancer
16971734,Breast Cancer
16971734,Cardiac Tumors
16972955,Sarcoma
16972955,Cervical Cancer
16972955,Bone Cancer
16972955,Skin Cancer
16972955,Lymphoma
16974212,Leukemia
16977374,Anal Cancer
16977650,Breast Cancer
16977654,Leukemia
16977654,Chronic Lymphocytic Leukemia (CLL)
16977654,Lymphoma
16977654,Multiple Myeloma
16978908,Breast Cancer
16978940,Breast Cancer
16978952,Breast Cancer
16978957,Breast Cancer
16978957,Gastrointestinal Tumor
16978971,Breast Cancer
16978974,Breast Cancer
16979517,Bone Cancer
16979517,Leukemia
16979706,Kidney Cancer
16979716,Kidney Cancer
16981669,Endometrial Cancer
16981833,Pancreatic Cancer
16982469,Colorectal Cancer
16982549,Breast Cancer
16982549,Colorectal Cancer
16982549,Liver Cancer
16982549,Lung Cancer
16982747,Bone Cancer
16982747,Gastrointestinal Tumor
16982758,Gastrointestinal Tumor
16982760,Prostate Cancer
16982772,Osteosarcoma
16982772,Lung Cancer
16982933,Prostate Cancer
16982933,Leukemia
16982933,Chronic Myelogenous Leukemia (CML)
16982933,Testicular Cancer
16983108,Lung Cancer
16983112,Pancreatic Cancer
16983118,Lung Cancer
16983131,Leukemia
16983131,Chronic Lymphocytic Leukemia (CLL)
16983506,Head and Neck Cancer
16983701,Kidney Cancer
16983701,Liver Cancer
16984732,Colorectal Cancer
16984734,Prostate Cancer
16985028,Brain Tumor
16985029,Esophageal Cancer
16985031,Pancreatic Cancer
16985059,Pancreatic Cancer
16985182,Sarcoma
16985182,Ewing Sarcoma
16985182,Leukemia
16985182,Acute Myeloid Leukemia (AML)
16985249,Breast Cancer
16985250,Endometrial Cancer
16986125,Sarcoma
16986125,Gastrointestinal Tumor
16986128,Leukemia
16986348,Breast Cancer
16986348,Bone Cancer
16986348,Kidney Cancer
16987081,Prostate Cancer
16988578,Leukemia
16988581,Bone Cancer
16988581,Kidney Cancer
16988581,Multiple Myeloma
16990110,Leukemia
16990110,Hairy Cell Leukemia
16990805,Melanoma
16990857,Skin Cancer
16990987,Breast Cancer
16990987,Ovarian Cancer
16990987,Colorectal Cancer
16990987,Endometrial Cancer
16991149,Bladder Cancer
16996130,Bone Cancer
16996355,Colorectal Cancer
16996584,Ovarian Cancer
16996914,Esophageal Cancer
16996914,Gastric Cancer
16996914,Head and Neck Cancer
16997175,Lymphoma
16997897,Endometrial Cancer
16998366,Pancreatic Cancer
16998931,Gastric Cancer
16998931,Gastrointestinal Tumor
17000285,Mesothelioma
17000390,Breast Cancer
17000668,Sarcoma
17000678,Bladder Cancer
17000678,Testicular Cancer
17000679,Lung Cancer
17000681,Ovarian Cancer
17000681,Sarcoma
17000681,Colorectal Cancer
17000681,Gastric Cancer
17000682,Melanoma
17000686,Ovarian Cancer
17000686,Fallopian Tube Cancer
17000687,Melanoma
17000949,Melanoma
17001166,Gastrointestinal Tumor
17001181,Prostate Cancer
17001523,Skin Cancer
17001661,Endometrial Cancer
17002808,Kidney Cancer
17003373,Leukemia
17003373,Chronic Lymphocytic Leukemia (CLL)
17003380,Leukemia
17003380,Acute Lymphoblastic Leukemia (ALL)
17003396,Colorectal Cancer
17003396,Endometrial Cancer
17003645,Pancreatic Cancer
17004113,Breast Cancer
17005280,Sarcoma
17005280,Kidney Cancer
17005437,Head and Neck Cancer
17005597,Sarcoma
17005597,Lung Cancer
17006261,Bladder Cancer
17006261,Prostate Cancer
17006988,Cervical Cancer
17006988,Esophageal Cancer
17007558,Thyroid Cancer
17007746,Colorectal Cancer
17008093,Bone Cancer
17008093,Lung Cancer
17008093,Lymphoma
17008093,Myeloproliferative Neoplasms
17008133,Thyroid Cancer
17008133,Liver Cancer
17008537,Leukemia
17008537,Chronic Lymphocytic Leukemia (CLL)
17008705,Leukemia
17008705,Chronic Lymphocytic Leukemia (CLL)
17008706,Breast Cancer
17008706,Ovarian Cancer
17008706,Colorectal Cancer
17008706,Endometrial Cancer
17010674,Leukemia
17010674,Acute Lymphoblastic Leukemia (ALL)
17011176,Prostate Cancer
17011261,Wilms Tumor
17011261,Kidney Cancer
17011280,Sarcoma
17011280,Neuroblastoma
17011280,Mesothelioma
17011280,Lung Cancer
17011445,Breast Cancer
17011445,Skin Cancer
17011451,Rectal Cancer
17011451,Anal Cancer
17011594,Esophageal Cancer
17011896,Breast Cancer
17013720,Liver Cancer
17013882,Prostate Cancer
17015161,Leukemia
17015161,Lymphoma
17015892,Thyroid Cancer
17015892,Bone Cancer
17015892,Kidney Cancer
17015895,Brain Tumor
17015895,Lung Cancer
17015905,Thyroid Cancer
17015905,Gastric Cancer
17016172,Breast Cancer
17018626,Lung Cancer
17019737,Esophageal Cancer
17019739,Brain Tumor
17020457,Leukemia
17020457,Chronic Lymphocytic Leukemia (CLL)
17020972,Neuroblastoma
17020976,Lung Cancer
17020981,Lung Cancer
17020987,Melanoma
17020987,Skin Cancer
17020988,Leukemia
17020988,Chronic Lymphocytic Leukemia (CLL)
17020988,Lymphoma
